camera_id,runA_frame,runB_frame,confidence,posterior_probability,posterior_no_correspondence,confidence_is_calibrated_probability,status,method,motion_channel
cam5,1515,1425,0.909667,0.909667,0.000264,True,accepted_posterior,bayes-hmm-v1,true
cam5,1516,1426,0.889128,0.889128,0.000333,True,accepted_posterior,bayes-hmm-v1,true
cam5,1517,1426,0.820868,0.820868,0.00036,True,accepted_posterior,bayes-hmm-v1,true
cam5,1518,1428,0.897745,0.897745,0.000318,True,accepted_posterior,bayes-hmm-v1,true
cam5,1519,1429,0.867548,0.867548,0.000383,True,accepted_posterior,bayes-hmm-v1,true
cam5,1520,1431,0.810314,0.810314,0.000349,True,accepted_posterior,bayes-hmm-v1,true
cam5,1521,1432,0.795439,0.795439,0.000382,True,accepted_posterior,bayes-hmm-v1,true
cam5,1522,1433,0.7983,0.7983,0.000409,True,accepted_posterior,bayes-hmm-v1,true
cam5,1523,1434,0.845499,0.845499,0.000344,True,accepted_posterior,bayes-hmm-v1,true
cam5,1524,1435,0.889729,0.889729,0.000278,True,accepted_posterior,bayes-hmm-v1,true
cam5,1525,1436,0.918709,0.918709,0.000225,True,accepted_posterior,bayes-hmm-v1,true
cam5,1526,1437,0.924663,0.924663,0.000159,True,accepted_posterior,bayes-hmm-v1,true
cam5,1527,1437,0.946553,0.946553,0.000179,True,accepted_posterior,bayes-hmm-v1,true
cam5,1528,1438,0.962473,0.962473,0.000205,True,accepted_posterior,bayes-hmm-v1,true
cam5,1529,1439,0.970996,0.970996,0.000211,True,accepted_posterior,bayes-hmm-v1,true
cam5,1530,1439,0.923329,0.923329,0.000248,True,accepted_posterior,bayes-hmm-v1,true
cam5,1531,1440,0.921665,0.921665,0.000172,True,accepted_posterior,bayes-hmm-v1,true
cam5,1532,1441,0.94097,0.94097,0.000172,True,accepted_posterior,bayes-hmm-v1,true
cam5,1533,1443,0.962107,0.962107,0.000157,True,accepted_posterior,bayes-hmm-v1,true
cam5,1534,1444,0.964061,0.964061,0.000166,True,accepted_posterior,bayes-hmm-v1,true
cam5,1535,1445,0.980955,0.980955,0.000134,True,accepted_posterior,bayes-hmm-v1,true
cam5,1536,1446,0.982458,0.982458,0.000121,True,accepted_posterior,bayes-hmm-v1,true
cam5,1537,1447,0.986723,0.986723,0.000118,True,accepted_posterior,bayes-hmm-v1,true
cam5,1538,1447,0.985337,0.985337,0.000137,True,accepted_posterior,bayes-hmm-v1,true
cam5,1539,1449,0.968355,0.968355,0.000196,True,accepted_posterior,bayes-hmm-v1,true
cam5,1540,1450,0.940592,0.940592,0.00023,True,accepted_posterior,bayes-hmm-v1,true
cam5,1541,1451,0.927011,0.927011,0.000223,True,accepted_posterior,bayes-hmm-v1,true
cam5,1542,1452,0.914215,0.914215,0.00023,True,accepted_posterior,bayes-hmm-v1,true
cam5,1543,1452,0.94889,0.94889,0.000443,True,accepted_posterior,bayes-hmm-v1,true
cam5,1544,1452,0.822615,0.822615,0.001381,True,accepted_posterior,bayes-hmm-v1,true
cam5,1545,1454,0.745324,0.745324,0.003863,True,accepted_posterior,bayes-hmm-v1,true
cam5,1546,1458,0.563701,0.563701,0.006368,True,accepted_posterior,bayes-hmm-v1,true
cam5,1547,1460,0.638124,0.638124,0.008299,True,accepted_posterior,bayes-hmm-v1,true
cam5,1548,1461,0.68973,0.68973,0.008758,True,accepted_posterior,bayes-hmm-v1,true
cam5,1549,1462,0.730546,0.730546,0.006354,True,accepted_posterior,bayes-hmm-v1,true
cam5,1550,1462,0.676673,0.676673,0.004703,True,accepted_posterior,bayes-hmm-v1,true
